aX,aY,aZ,gX,gY,gZ
0.530,0.491,1.814,26.306,-19.043,113.159
0.547,0.624,1.869,24.963,-10.681,111.877
0.570,0.775,1.896,24.170,-2.502,109.924
0.589,0.951,1.860,24.170,7.507,106.995
0.613,1.118,1.766,24.475,17.761,102.234
0.649,1.266,1.675,23.132,26.367,95.276
0.678,1.371,1.575,20.386,34.119,86.853
0.694,1.437,1.511,16.296,40.161,76.904
0.705,1.398,1.474,13.550,45.715,66.345
0.714,1.335,1.437,12.146,50.842,56.580
0.710,1.285,1.373,11.658,56.152,48.096
0.698,1.223,1.318,12.512,60.425,40.710
0.686,1.167,1.286,12.939,63.538,34.302
0.673,1.127,1.287,13.245,66.528,28.625
0.654,1.113,1.301,13.000,69.946,23.437
0.626,1.103,1.311,12.817,73.730,18.677
0.594,1.062,1.315,12.329,77.881,14.160
0.575,1.049,1.279,10.132,82.520,9.583
0.555,1.073,1.207,5.676,87.769,5.432
0.544,1.107,1.126,-0.183,92.529,0.793
0.536,1.145,1.053,-5.859,96.436,-4.028
0.524,1.201,0.990,-12.085,99.609,-9.155
0.503,1.236,0.936,-15.808,101.807,-15.259
0.487,1.215,0.865,-17.639,103.516,-22.217
0.466,1.182,0.756,-18.188,105.164,-29.175
0.448,1.146,0.624,-18.372,105.896,-35.522
0.433,1.091,0.483,-17.456,105.347,-41.687
0.418,1.018,0.364,-16.907,103.088,-47.424
0.397,0.947,0.280,-16.907,98.877,-52.856
0.376,0.874,0.239,-16.663,93.506,-57.617
0.351,0.807,0.206,-15.381,88.196,-61.584
0.329,0.763,0.170,-12.329,83.008,-65.247
0.297,0.671,0.133,-10.315,78.064,-68.848
0.266,0.580,0.068,-8.423,73.547,-72.021
0.242,0.472,0.016,-6.592,68.481,-74.097
0.224,0.349,-0.031,-6.165,62.988,-75.317
0.211,0.255,-0.078,-6.653,57.068,-75.989
0.198,0.157,-0.114,-6.592,51.270,-75.500
0.187,0.074,-0.163,-5.737,45.410,-74.158
0.184,-0.008,-0.205,-7.141,39.490,-72.571
0.185,-0.089,-0.234,-9.033,33.386,-70.068
0.186,-0.175,-0.219,-11.780,26.550,-67.078
0.196,-0.222,-0.192,-14.282,20.020,-63.232
0.204,-0.245,-0.183,-14.771,14.465,-58.716
0.215,-0.275,-0.184,-15.747,8.911,-54.382
0.249,-0.292,-0.184,-17.273,3.662,-49.805
0.234,-0.270,-0.223,-17.761,-1.465,-45.288
0.258,-0.310,-0.291,-15.137,-6.592,-41.016
0.285,-0.323,-0.341,-13.977,-12.573,-36.438
0.303,-0.321,-0.335,-14.099,-20.325,-31.982
0.313,-0.340,-0.278,-16.235,-28.198,-28.015
0.326,-0.352,-0.204,-17.578,-35.522,-23.560
0.339,-0.367,-0.117,-17.273,-41.870,-19.043
0.352,-0.391,-0.028,-16.785,-47.485,-14.282
0.371,-0.372,0.067,-15.991,-52.429,-9.338
0.386,-0.310,0.157,-14.221,-56.702,-4.700
0.410,-0.243,0.261,-13.611,-59.998,-0.793
0.430,-0.157,0.379,-13.489,-62.805,3.235
0.448,-0.043,0.497,-13.489,-64.270,6.531
0.470,0.070,0.589,-13.245,-64.697,8.850
0.491,0.135,0.652,-13.062,-63.904,9.705
0.504,0.167,0.705,-12.756,-63.049,9.644
0.517,0.190,0.738,-11.292,-61.707,9.644
0.527,0.174,0.727,-8.789,-60.364,9.338
0.534,0.107,0.700,-6.470,-59.387,8.911
0.539,0.023,0.663,-3.113,-59.692,9.277
0.547,-0.059,0.623,1.770,-60.730,11.169
0.558,-0.015,0.590,4.333,-62.500,13.672
0.552,-0.013,0.632,4.211,-64.941,15.320
0.546,0.010,0.726,7.751,-67.932,17.456
0.548,0.112,0.843,11.230,-69.885,19.531
0.543,0.231,0.949,14.099,-70.923,20.325
0.557,0.306,1.031,16.174,-70.190,19.531
0.567,0.333,1.060,19.409,-67.627,17.456
0.579,0.276,1.030,21.667,-64.453,14.709
0.592,0.172,0.963,23.193,-61.890,12.817
0.601,0.055,0.887,21.912,-60.059,11.719
0.609,-0.031,0.838,17.700,-59.509,12.024
0.622,-0.039,0.850,13.550,-59.814,13.550
0.626,-0.012,0.946,11.047,-60.974,15.808
0.627,0.000,1.074,10.132,-61.218,17.883
0.645,0.077,1.128,11.658,-59.265,20.447
0.662,0.196,1.162,14.160,-56.763,22.278
0.673,0.315,1.201,15.137,-54.382,22.949
0.683,0.400,1.270,15.015,-51.880,22.034
0.689,0.471,1.374,14.038,-48.767,20.203
0.701,0.534,1.466,12.451,-44.434,17.395
0.703,0.566,1.486,12.146,-37.842,13.977
0.705,0.505,1.434,11.902,-30.212,9.827
0.704,0.418,1.321,12.085,-23.315,6.531
0.700,0.304,1.211,11.047,-18.372,4.150
0.702,0.271,1.115,10.803,-15.137,3.235
0.703,0.284,1.047,11.658,-13.184,3.357
0.690,0.280,1.001,11.780,-12.268,2.869
0.688,0.281,0.972,13.489,-12.146,2.991
0.684,0.292,0.974,14.893,-12.085,3.174
0.676,0.323,1.017,15.076,-11.963,2.869
0.665,0.399,1.091,14.099,-11.169,2.380
0.651,0.471,1.154,12.573,-8.911,1.404
0.634,0.495,1.201,10.071,-5.920,-0.977
0.618,0.492,1.198,8.423,-2.380,-3.418
0.600,0.452,1.146,7.324,1.892,-5.310
0.587,0.377,1.073,5.737,5.737,-6.958
0.565,0.315,0.994,4.761,8.545,-8.240
0.549,0.246,0.901,4.028,10.620,-8.545
0.532,0.198,0.808,4.028,11.658,-8.423
0.512,0.171,0.758,3.540,11.169,-7.874
0.500,0.161,0.704,2.625,10.376,-7.141
0.484,0.173,0.657,3.418,9.033,-6.287
0.473,0.185,0.646,4.211,6.836,-5.798
0.466,0.184,0.687,4.456,4.333,-5.554
0.455,0.177,0.740,4.639,2.747,-5.432
0.447,0.158,0.786,4.333,2.014,-5.249
0.440,0.138,0.814,2.747,2.197,-5.005
