aX,aY,aZ,gX,gY,gZ
-0.482,-1.761,-0.745,25.024,-116.455,103.455
-0.622,-1.714,-0.751,32.104,-129.578,122.925
-0.761,-1.569,-0.680,37.903,-143.616,141.479
-0.888,-1.331,-0.542,44.800,-158.569,158.081
-0.979,-0.983,-0.363,53.284,-172.546,172.424
-0.977,-0.606,-0.170,60.242,-185.547,183.228
-0.910,-0.264,0.095,64.514,-196.777,188.782
-0.813,-0.090,0.410,65.613,-205.933,188.965
-0.673,0.017,0.766,64.575,-211.731,188.232
-0.575,0.162,1.209,60.242,-214.294,188.049
-0.413,0.460,1.675,52.917,-211.304,188.721
-0.231,0.868,2.034,47.546,-204.773,189.941
-0.041,1.276,2.393,43.457,-196.350,188.293
0.143,1.639,2.629,36.377,-180.115,183.472
0.465,1.982,2.633,21.423,-160.156,176.758
0.614,2.405,2.936,11.658,-147.461,169.922
0.821,2.791,3.091,-5.310,-130.859,159.119
0.975,3.245,3.251,-16.113,-111.450,147.095
1.108,3.751,3.442,-18.372,-93.323,131.775
1.161,4.000,3.512,-8.911,-70.984,114.380
1.202,4.000,3.559,-3.052,-48.706,90.210
1.178,4.000,3.511,-4.272,-24.353,55.786
1.074,4.000,3.432,-8.057,-0.305,15.564
0.879,4.000,3.356,-5.432,22.156,-27.039
0.722,4.000,3.060,-6.653,46.570,-75.439
0.466,4.000,2.559,-2.686,71.838,-124.390
0.201,3.534,2.125,0.488,87.280,-163.513
-0.034,2.718,1.737,-9.277,100.769,-195.557
-0.237,1.958,1.488,-29.419,110.291,-218.628
-0.416,1.253,1.332,-56.824,117.310,-234.253
-0.595,0.605,1.305,-84.167,117.676,-243.164
-0.708,0.140,1.213,-85.327,116.577,-242.126
-0.811,-0.171,1.025,-76.233,118.286,-235.962
-0.889,-0.442,0.748,-71.716,121.643,-229.492
-0.923,-0.723,0.398,-69.763,123.596,-222.595
-0.912,-1.029,0.072,-69.946,120.972,-215.027
-0.908,-1.450,-0.214,-71.045,114.868,-205.872
-0.841,-1.840,-0.447,-72.327,104.553,-193.054
-0.791,-2.340,-0.637,-73.853,94.482,-177.063
-0.703,-2.743,-0.886,-70.435,83.801,-155.273
-0.609,-3.068,-1.173,-64.209,73.364,-129.517
-0.561,-3.287,-1.406,-57.556,61.035,-99.915
-0.494,-3.409,-1.523,-51.147,37.109,-67.383
-0.480,-3.611,-1.681,-45.959,16.968,-33.752
-0.487,-3.838,-1.752,-36.804,-3.784,-1.526
-0.522,-3.998,-1.827,-25.818,-27.344,35.645
-0.625,-4.000,-1.944,-13.428,-48.645,76.782
-0.757,-3.895,-2.098,3.418,-72.998,120.850
-0.963,-3.537,-2.175,18.982,-100.403,164.734
-1.210,-2.982,-2.162,39.001,-134.460,204.590
-1.422,-2.164,-1.637,64.697,-175.232,239.624
-1.602,-1.375,-0.906,77.698,-210.266,261.292
-1.696,-0.697,-0.083,88.623,-238.647,275.391
-1.683,-0.049,0.580,91.858,-254.089,283.997
-1.557,0.540,1.308,92.712,-274.048,283.691
-1.441,1.082,2.168,94.116,-284.546,280.762
-1.215,1.691,2.856,72.144,-254.272,271.240
-0.922,2.456,3.948,75.073,-255.310,262.268
-0.682,3.167,4.000,70.618,-211.609,243.835
-0.346,3.739,4.000,55.908,-163.940,216.858
-0.075,4.000,4.000,52.368,-119.995,183.777
0.328,4.000,3.903,32.654,-73.914,137.085
0.523,3.614,2.952,29.541,-37.659,88.867
0.658,3.001,2.178,46.387,-21.301,53.162
