aX,aY,aZ,gX,gY,gZ
1.694,-0.161,1.427,17.517,-40.649,15.442
1.795,-0.316,1.824,15.930,-40.283,16.785
1.863,-0.419,2.197,10.132,-33.386,20.569
1.946,-0.381,2.559,5.554,-20.508,27.527
1.981,-0.129,2.872,0.122,-7.568,35.278
1.968,0.136,3.141,-4.333,7.507,39.917
1.932,0.363,3.264,-9.216,30.884,39.734
1.814,0.528,3.304,-9.705,56.213,36.621
1.626,0.637,3.228,-5.066,77.759,32.043
1.466,0.568,3.259,1.892,98.083,26.611
1.235,0.559,3.176,-0.793,118.530,21.362
1.011,0.597,3.028,2.136,138.855,18.250
0.778,0.668,2.706,3.479,160.767,15.015
0.546,0.713,2.314,3.296,179.687,10.803
0.352,0.718,1.932,2.991,194.702,5.737
0.184,0.821,1.490,0.366,208.435,1.160
0.093,0.973,0.997,-3.052,223.877,-4.028
-0.125,1.192,0.479,-10.925,229.370,-11.108
-0.126,1.226,-0.081,-14.832,222.107,-22.461
-0.193,1.193,-0.485,-16.846,214.722,-35.278
-0.219,1.169,-0.885,-21.057,202.026,-47.607
-0.250,1.034,-1.194,-19.348,188.171,-59.021
-0.248,0.849,-1.383,-15.503,165.100,-69.458
-0.270,0.676,-1.496,-10.071,141.174,-76.416
-0.280,0.500,-1.559,-4.456,118.896,-80.811
-0.274,0.391,-1.512,-2.136,96.436,-82.642
-0.270,0.278,-1.365,-7.568,75.562,-83.557
-0.263,0.194,-1.125,-18.677,57.922,-83.557
-0.288,0.175,-0.757,-30.640,43.335,-82.275
-0.316,0.187,-0.356,-40.588,34.546,-80.261
-0.335,0.148,-0.019,-49.438,31.677,-78.613
-0.359,0.069,0.104,-55.542,35.889,-76.660
-0.352,-0.062,-0.055,-58.777,42.664,-73.853
-0.314,-0.163,-0.385,-59.021,48.157,-69.458
-0.282,-0.191,-0.724,-59.937,48.035,-64.026
-0.243,-0.188,-1.021,-64.453,42.786,-58.655
-0.233,-0.154,-1.232,-73.975,33.630,-53.772
-0.188,-0.185,-1.336,-87.952,21.301,-50.354
-0.198,-0.314,-1.432,-90.820,7.935,-46.814
-0.240,-0.417,-1.289,-94.299,-8.240,-42.175
-0.282,-0.464,-1.338,-93.018,-21.484,-35.400
-0.317,-0.391,-1.474,-81.299,-35.400,-27.771
-0.296,-0.259,-1.634,-76.721,-48.096,-22.583
-0.345,-0.293,-1.862,-72.388,-61.218,-22.400
-0.390,-0.478,-1.979,-71.533,-78.247,-24.414
-0.465,-0.995,-1.795,-74.280,-110.046,-27.405
-0.532,-1.584,-1.464,-77.393,-134.277,-25.085
-0.593,-2.166,-1.013,-79.407,-156.311,-15.991
-0.622,-2.662,-0.574,-76.660,-172.180,-0.732
-0.604,-3.101,-0.224,-64.087,-182.312,21.912
-0.545,-3.425,0.114,-41.870,-191.895,48.950
-0.473,-3.448,0.554,-19.226,-202.026,80.322
-0.418,-3.142,1.189,1.892,-215.698,114.075
-0.318,-2.716,1.857,22.339,-214.783,145.935
-0.211,-2.241,2.479,33.752,-198.730,172.119
-0.118,-1.622,3.137,37.659,-189.514,193.542
-0.009,-0.909,3.717,37.598,-169.312,210.632
0.191,-0.188,3.891,29.053,-128.967,220.520
0.304,0.591,4.000,16.907,-90.942,226.868
0.366,1.397,4.000,4.089,-51.453,225.525
0.447,2.208,3.807,-1.648,-13.123,218.140
0.550,2.962,3.224,1.953,25.330,203.857
0.666,3.651,2.296,15.259,63.049,185.059
0.757,4.000,1.328,14.648,97.290,166.809
0.883,4.000,0.070,12.878,119.263,144.165
0.957,4.000,-0.500,3.357,97.534,55.664
0.969,3.775,-1.276,-4.944,100.586,2.808
0.948,3.138,-1.790,0.916,80.383,-34.241
0.878,2.526,-2.081,8.362,44.067,-63.354
0.777,2.040,-2.229,6.165,13.062,-84.167
0.675,1.631,-2.169,1.587,-20.142,-97.351
0.542,1.353,-1.888,-7.874,-53.528,-106.201
0.410,1.311,-1.433,-16.846,-81.238,-111.023
0.262,1.305,-1.000,-16.052,-102.051,-116.211
0.167,1.154,-0.697,-9.094,-117.981,-124.268
0.128,0.908,-0.487,-5.066,-128.479,-132.690
0.089,0.551,-0.222,-7.507,-138.855,-141.541
0.086,0.093,0.088,-17.151,-148.193,-148.804
0.094,-0.494,0.399,-34.912,-157.166,-152.161
0.159,-1.177,0.823,-45.532,-172.546,-149.170
0.252,-1.768,1.364,-50.354,-177.734,-138.611
0.368,-2.168,1.973,-53.406,-170.959,-118.896
0.497,-2.219,2.676,-48.523,-164.490,-92.041
0.619,-2.019,3.301,-48.401,-151.245,-64.331
0.747,-1.764,3.765,-47.546,-124.023,-41.138
0.855,-1.495,3.772,-47.546,-78.979,-23.193
0.955,-1.310,3.464,-40.649,-45.776,-9.155
1.042,-1.262,2.964,-35.461,-16.541,1.465
1.109,-1.183,2.444,-34.485,5.798,12.024
1.144,-0.972,2.010,-37.231,21.301,21.729
1.168,-0.644,1.638,-39.124,31.738,30.579
1.181,-0.267,1.377,-36.865,39.612,36.804
1.171,0.097,1.156,-31.921,44.128,38.147
1.153,0.425,0.897,-25.452,44.006,35.339
1.155,0.706,0.658,-20.081,41.992,28.870
1.127,0.864,0.492,-17.517,38.025,18.860
1.077,0.828,0.452,-16.602,31.250,5.737
1.011,0.619,0.491,-14.038,24.780,-5.859
0.961,0.355,0.490,-7.446,21.179,-13.733
0.921,0.143,0.417,-1.953,19.348,-18.494
0.891,0.058,0.326,2.197,17.151,-19.836
0.859,0.038,0.252,5.432,13.428,-19.409
0.841,0.078,0.214,6.653,8.911,-18.799
0.802,0.068,0.259,7.507,2.808,-18.982
0.771,-0.044,0.325,9.705,-1.892,-19.531
0.741,-0.195,0.412,11.475,-5.188,-18.982
0.714,-0.304,0.488,11.047,-6.836,-16.541
0.708,-0.335,0.592,10.254,-8.301,-12.146
0.694,-0.287,0.714,9.277,-8.789,-7.141
0.693,-0.190,0.808,7.202,-7.324,-3.235
0.691,-0.058,0.856,5.920,-5.310,0.061
0.693,0.045,0.866,4.578,-2.686,1.709
0.702,0.122,0.806,3.479,0.916,2.136
0.716,0.173,0.704,3.052,3.784,1.648
0.726,0.189,0.636,3.174,4.333,0.305
0.732,0.143,0.576,3.479,3.723,-1.404
0.740,0.055,0.514,5.920,2.319,-2.563
0.742,-0.025,0.468,9.216,-0.366,-2.747
0.739,-0.079,0.452,11.230,-3.357,-2.014
1.310,-0.730,1.816,3.052,-81.238,23.865
1.436,-0.750,2.262,-6.287,-75.378,34.058
1.553,-0.565,2.785,-18.799,-69.275,46.631
1.642,-0.121,3.307,-31.189,-60.730,58.777
1.683,0.386,3.593,-26.245,-42.114,67.322
1.755,0.777,4.000,-24.170,-16.296,66.406
1.663,1.116,4.000,-29.602,5.493,61.096
1.519,1.412,4.000,-21.423,35.278,52.856
1.305,1.577,4.000,-10.864,67.688,40.039
1.104,1.502,4.000,-12.268,102.722,22.949
0.867,1.289,4.000,-1.648,142.029,7.080
0.662,0.964,3.416,12.451,177.490,-3.845
0.473,0.635,2.656,17.151,202.087,-11.841
0.316,0.337,2.000,15.198,217.285,-16.113
0.194,0.155,1.468,8.545,228.760,-17.212
0.068,0.119,0.966,2.502,240.845,-15.686
-0.002,0.213,0.637,0.061,232.788,-11.353
-0.092,0.344,0.375,-1.770,222.168,-8.850
-0.178,0.546,0.215,-5.371,215.088,-8.789
-0.259,0.726,0.074,-8.484,206.177,-10.803
-0.328,0.937,0.030,-9.094,197.266,-14.954
-0.414,1.178,-0.046,-7.507,187.439,-21.057
-0.471,1.330,-0.179,-4.395,180.359,-29.724
-0.510,1.326,-0.370,-4.578,173.279,-41.809
-0.554,1.245,-0.531,-4.333,165.344,-54.260
-0.598,1.033,-0.682,-6.287,153.564,-66.895
-0.657,0.824,-0.710,-7.446,143.738,-76.477
-0.657,0.475,-0.844,-18.860,133.911,-84.106
-0.678,0.194,-0.945,-24.475,126.526,-87.097
-0.647,-0.007,-1.096,-37.720,117.249,-85.266
-0.638,-0.153,-1.224,-52.551,109.009,-81.604
-0.559,-0.182,-1.268,-75.073,94.543,-76.294
-0.534,-0.076,-1.368,-90.515,82.153,-69.641
-0.476,0.213,-1.482,-99.365,70.984,-63.049
-0.459,0.431,-1.546,-106.018,55.176,-62.256
-0.367,0.628,-1.506,-114.868,37.415,-65.796
-0.390,0.557,-1.491,-117.615,19.836,-73.792
-0.368,0.475,-1.650,-109.985,6.165,-79.041
-0.370,0.289,-1.674,-102.539,-13.306,-84.229
-0.370,0.105,-1.666,-102.051,-32.104,-88.074
-0.381,-0.077,-1.644,-102.844,-51.819,-89.905
-0.384,-0.336,-1.549,-108.765,-71.289,-90.881
-0.375,-0.711,-1.399,-115.295,-90.576,-90.149
-0.379,-1.281,-1.229,-121.887,-108.826,-87.585
-0.354,-1.836,-1.119,-125.061,-124.573,-79.285
-0.344,-2.412,-1.143,-120.972,-139.526,-63.782
-0.351,-2.760,-1.092,-104.553,-159.058,-41.565
-0.367,-2.918,-0.706,-83.557,-185.547,-15.686
-0.372,-2.904,0.063,-62.622,-213.379,7.996
-0.377,-2.916,1.121,-47.668,-242.126,27.344
-0.274,-3.074,2.562,-44.067,-264.526,43.579
-0.145,-3.126,3.450,-41.382,-236.877,68.115
0.078,-3.209,4.000,-32.593,-211.060,93.384
0.304,-3.023,4.000,-21.057,-156.921,124.329
0.505,-2.642,4.000,-14.160,-114.624,152.405
0.679,-2.019,4.000,-10.925,-69.214,178.711
0.795,-1.228,4.000,-8.667,-26.978,200.623
0.939,-0.326,3.779,0.061,10.559,219.666
1.139,0.572,3.241,15.503,39.978,227.844
1.120,1.173,2.650,35.522,60.669,223.694
1.245,1.886,2.303,50.659,73.608,215.454
1.278,2.349,1.960,55.481,86.182,198.547
1.324,2.733,1.632,57.556,94.971,176.880
1.334,2.957,1.312,60.791,103.699,153.259
1.289,3.053,1.000,58.350,111.938,125.977
1.267,3.023,0.838,49.805,109.558,95.886
1.176,2.750,0.614,44.006,108.276,65.308
1.065,2.374,0.414,44.678,108.582,39.307
0.940,2.032,0.226,46.692,108.521,19.470
0.833,1.759,0.038,45.593,104.980,4.639
0.740,1.562,-0.153,40.222,102.173,-6.104
0.659,1.445,-0.428,36.133,99.487,-14.282
0.580,1.328,-0.639,33.630,90.637,-22.217
0.513,1.209,-0.844,29.846,81.604,-29.480
0.452,1.033,-0.930,27.283,68.298,-36.194
0.355,0.877,-0.965,23.376,53.223,-41.260
0.286,0.708,-0.956,19.775,40.100,-44.617
0.204,0.528,-0.926,18.066,27.283,-46.509
0.126,0.365,-0.853,13.977,15.686,-46.570
0.055,0.193,-0.762,7.446,5.615,-45.044
0.001,0.081,-0.657,0.793,-2.441,-41.565
-0.048,0.007,-0.628,-8.301,-7.629,-36.499
-0.076,-0.037,-0.628,-19.226,-12.390,-30.945
-0.089,0.019,-0.560,-30.762,-19.470,-24.597
-0.091,0.132,-0.524,-40.588,-25.879,-18.433
-0.082,0.245,-0.596,-49.316,-30.701,-13.855
-0.047,0.393,-0.684,-55.420,-37.476,-10.620
-0.002,0.616,-0.751,-59.570,-46.387,-8.850
0.024,0.848,-0.798,-64.331,-56.274,-9.277
0.058,0.998,-0.826,-70.190,-68.237,-13.977
0.095,1.013,-0.836,-70.679,-81.482,-21.362
0.124,0.899,-0.857,-69.031,-95.154,-29.419
0.201,0.734,-0.841,-68.787,-110.107,-36.560
