aX,aY,aZ,gX,gY,gZ
1.350,0.328,0.919,3.052,10.498,11.292
1.358,0.254,1.062,3.967,12.512,9.399
1.359,0.191,1.242,2.808,15.320,8.850
1.346,0.164,1.410,0.488,21.545,10.071
1.315,0.185,1.505,-4.456,31.860,11.719
1.264,0.220,1.606,-11.658,43.091,12.817
1.217,0.311,1.641,-16.479,56.030,14.099
1.168,0.443,1.545,-22.949,70.740,13.977
1.123,0.590,1.317,-25.635,84.961,12.207
1.092,0.690,1.016,-25.269,95.642,8.667
1.062,0.697,0.724,-24.597,101.929,2.991
1.033,0.666,0.493,-24.780,103.210,-3.174
1.000,0.616,0.336,-24.231,101.501,-8.362
0.959,0.529,0.241,-23.682,98.022,-13.977
0.910,0.419,0.205,-22.705,93.323,-18.799
0.857,0.291,0.205,-21.912,88.745,-22.705
0.802,0.179,0.198,-20.935,84.900,-25.085
0.753,0.104,0.146,-19.348,81.726,-26.001
0.706,0.050,0.078,-17.761,78.064,-25.940
0.664,0.036,0.062,-17.212,73.425,-25.757
0.615,0.050,0.103,-17.395,68.054,-25.208
0.562,0.059,0.175,-17.517,63.782,-25.269
0.510,0.051,0.224,-17.456,61.157,-25.452
0.468,0.041,0.220,-17.029,59.631,-26.062
0.424,0.017,0.187,-15.442,58.350,-26.672
0.391,-0.030,0.114,-12.817,56.885,-26.733
0.359,-0.095,0.052,-11.230,55.176,-26.794
0.327,-0.166,-0.001,-10.010,52.734,-26.245
0.298,-0.234,-0.074,-8.362,49.988,-25.085
0.273,-0.312,-0.147,-7.324,46.753,-23.071
0.252,-0.378,-0.214,-7.141,42.786,-20.081
0.231,-0.422,-0.257,-6.348,38.147,-16.113
0.206,-0.427,-0.283,-5.920,33.081,-11.292
0.177,-0.406,-0.300,-5.859,27.832,-6.653
0.141,-0.363,-0.330,-6.958,23.376,-2.686
0.110,-0.286,-0.382,-8.606,18.616,1.465
0.089,-0.175,-0.462,-9.766,13.916,5.066
0.076,-0.079,-0.532,-10.742,8.118,7.263
0.067,-0.024,-0.565,-11.963,0.488,7.751
0.057,-0.003,-0.595,-12.512,-6.531,7.568
0.057,0.012,-0.626,-12.207,-14.038,7.507
0.069,0.029,-0.647,-11.475,-22.461,7.324
0.077,0.021,-0.653,-10.315,-31.311,6.836
0.087,0.008,-0.638,-8.667,-40.649,6.409
0.099,0.024,-0.612,-8.301,-49.622,6.348
0.108,0.053,-0.574,-8.911,-58.472,6.287
0.121,0.110,-0.468,-10.010,-67.566,5.981
0.131,0.170,-0.317,-11.780,-76.233,4.822
0.141,0.201,-0.217,-13.367,-82.397,3.113
0.172,0.180,-0.185,-13.123,-87.158,0.977
0.219,0.129,-0.189,-11.963,-92.102,-1.465
0.266,0.005,-0.181,-10.010,-97.778,-3.113
0.309,-0.139,-0.137,-6.958,-104.126,-3.418
0.354,-0.261,-0.080,-4.272,-110.474,-2.197
0.398,-0.331,-0.052,-2.014,-116.028,0.916
0.445,-0.340,-0.070,-1.831,-121.155,4.822
0.496,-0.274,-0.087,-1.648,-127.197,8.972
0.550,-0.130,-0.048,-0.671,-134.644,12.390
0.598,0.019,0.073,-0.244,-143.311,14.099
0.661,0.078,0.296,0.183,-152.710,13.123
0.735,0.056,0.635,1.648,-161.011,11.230
0.805,-0.003,1.023,4.150,-165.588,9.277
0.900,-0.080,1.363,6.897,-164.978,8.667
1.012,-0.169,1.642,10.315,-161.011,9.216
1.136,-0.253,1.838,11.475,-152.893,11.047
1.289,-0.324,1.965,12.634,-140.442,14.587
1.450,-0.341,2.045,13.123,-127.991,19.775
1.603,-0.290,2.138,11.841,-115.295,25.879
1.743,-0.137,2.247,8.606,-102.905,32.288
1.859,0.091,2.412,4.089,-90.454,37.781
1.955,0.306,2.619,-2.319,-77.637,40.771
2.010,0.503,2.791,-5.676,-61.218,41.260
2.042,0.689,2.890,-7.629,-41.504,39.795
2.043,0.824,2.878,-8.118,-17.883,35.889
2.024,0.955,2.780,-6.226,3.906,31.006
1.958,1.052,2.540,1.404,24.780,25.696
1.880,0.949,2.610,2.808,39.856,17.761
1.761,0.891,2.536,-7.935,59.875,10.071
1.637,0.842,2.333,-9.155,78.430,4.761
1.516,0.801,2.035,-11.597,97.107,-0.122
1.396,0.737,1.741,-14.465,111.877,-4.272
1.278,0.685,1.484,-18.188,121.887,-7.812
1.161,0.656,1.269,-22.095,129.883,-11.414
1.052,0.624,1.081,-26.245,137.756,-15.503
0.957,0.607,0.914,-30.518,141.907,-19.592
0.867,0.594,0.756,-33.142,142.090,-23.743
0.790,0.573,0.587,-33.691,142.090,-28.015
0.724,0.542,0.439,-32.043,140.137,-32.043
0.661,0.488,0.312,-29.419,136.414,-36.194
0.602,0.418,0.228,-27.527,131.348,-40.100
0.549,0.345,0.186,-25.879,125.305,-43.396
0.491,0.289,0.148,-24.414,119.873,-45.776
0.433,0.255,0.135,-23.193,114.441,-47.791
0.376,0.226,0.148,-22.766,108.765,-49.500
0.325,0.213,0.177,-22.522,103.638,-51.331
0.269,0.178,0.226,-22.156,99.304,-52.856
0.212,0.123,0.232,-21.729,96.497,-54.565
0.159,0.049,0.187,-20.752,94.604,-55.786
0.129,-0.045,0.118,-19.531,92.773,-56.580
0.089,-0.172,0.026,-18.433,90.576,-56.519
0.072,-0.265,-0.079,-18.372,87.769,-55.054
0.046,-0.372,-0.186,-17.273,83.801,-52.429
0.035,-0.462,-0.275,-16.846,78.796,-48.523
0.022,-0.554,-0.338,-16.724,72.571,-43.640
0.011,-0.641,-0.378,-16.907,66.162,-37.903
-0.002,-0.712,-0.422,-17.456,59.814,-30.884
-0.002,-0.572,-0.364,-23.560,53.406,-23.254
0.003,-0.698,-0.455,-33.142,48.279,-17.090
0.021,-0.639,-0.589,-24.719,43.945,-8.484
0.018,-0.459,-0.671,-25.146,36.682,-0.244
0.013,-0.272,-0.715,-29.480,27.527,5.066
0.021,-0.081,-0.687,-33.691,17.334,8.240
0.021,0.051,-0.638,-36.194,7.446,8.789
0.024,0.122,-0.628,-35.400,-1.221,7.446
0.033,0.148,-0.661,-32.776,-8.423,5.249
0.050,0.132,-0.700,-29.114,-17.029,2.869
0.059,0.081,-0.721,-26.489,-26.672,0.244
0.088,0.041,-0.732,-24.658,-36.438,-1.831
0.118,0.026,-0.776,-21.484,-46.448,-2.808
1.085,-0.615,1.224,1.892,-117.798,15.259
1.110,-0.537,1.381,0.427,-111.694,22.217
1.151,-0.350,1.495,-2.869,-103.333,29.175
1.192,-0.069,1.584,-6.592,-93.628,34.668
1.230,0.200,1.694,-11.169,-83.435,36.743
1.271,0.413,1.761,-14.404,-71.106,35.645
1.311,0.551,1.785,-14.648,-58.167,31.738
1.346,0.640,1.741,-13.489,-44.800,26.245
1.367,0.617,1.606,-11.902,-32.043,19.409
