aX,aY,aZ,gX,gY,gZ
1.383,-0.346,1.988,1.526,-43.274,0.610
1.485,-0.458,2.249,0.244,-31.738,5.737
1.513,-0.504,2.769,-1.343,-16.907,12.390
1.508,-0.462,2.996,-0.122,0.366,20.569
1.516,-0.157,2.966,-5.920,34.668,28.870
1.444,0.208,3.005,-7.935,58.228,34.546
1.380,0.594,2.939,-15.259,83.374,35.645
1.299,0.988,2.744,-25.513,108.765,32.288
1.211,1.241,2.466,-34.851,130.371,23.071
1.125,1.423,2.229,-40.466,147.339,9.094
0.988,1.531,2.057,-41.016,159.912,-6.226
0.851,1.377,1.795,-42.175,171.265,-25.024
0.708,1.046,1.425,-37.476,182.007,-42.786
0.579,0.682,1.003,-28.748,190.979,-56.458
0.478,0.377,0.588,-22.583,194.946,-65.308
0.405,0.115,0.360,-14.771,186.401,-69.519
0.329,-0.086,0.194,-11.841,180.115,-70.984
0.276,-0.211,0.084,-8.728,172.302,-69.153
0.230,-0.314,0.025,-8.240,165.588,-66.223
0.191,-0.362,-0.093,-8.362,159.302,-62.622
0.166,-0.393,-0.182,-7.080,153.076,-58.411
0.149,-0.379,-0.296,-8.240,146.057,-54.382
0.152,-0.378,-0.401,-8.606,138.428,-50.781
0.156,-0.381,-0.516,-7.812,130.066,-47.485
0.156,-0.396,-0.607,-6.165,120.605,-44.373
0.166,-0.426,-0.702,-5.127,110.474,-41.382
0.173,-0.515,-0.786,-4.211,99.731,-38.513
0.175,-0.589,-0.862,-3.662,88.196,-34.729
0.177,-0.630,-0.907,-2.197,75.867,-29.480
0.172,-0.681,-0.957,-1.343,63.354,-23.804
0.180,-0.749,-1.022,-1.099,51.025,-17.822
0.176,-0.783,-1.019,-2.625,38.330,-11.169
0.164,-0.791,-1.012,-3.723,25.269,-4.639
0.163,-0.778,-1.030,-2.625,13.184,2.258
0.155,-0.723,-0.990,0.183,0.916,9.338
0.124,-0.664,-0.903,2.625,-10.803,15.259
0.095,-0.646,-0.844,4.944,-21.484,20.325
0.069,-0.700,-0.802,8.240,-31.677,24.841
0.022,-0.811,-0.769,11.353,-41.748,29.419
-0.026,-0.972,-0.741,13.489,-52.002,34.851
-0.058,-1.220,-0.627,15.442,-63.232,41.138
-0.092,-1.479,-0.469,18.860,-74.768,49.927
-0.140,-1.700,-0.316,25.574,-84.167,62.805
-0.183,-1.899,-0.245,33.020,-91.858,77.942
-0.212,-2.014,-0.203,42.236,-99.731,95.642
-0.235,-2.005,-0.065,54.932,-109.619,114.929
-0.261,-1.808,0.186,69.702,-120.361,134.155
-0.273,-1.541,0.511,82.336,-128.967,151.672
-0.249,-1.293,0.865,92.529,-133.972,165.527
-0.205,-1.035,1.244,100.830,-135.376,177.307
-0.149,-0.713,1.626,105.286,-132.507,187.073
-0.055,-0.366,1.961,104.004,-125.244,194.397
0.084,0.051,2.222,99.243,-114.197,199.158
0.207,0.531,2.364,89.966,-95.154,200.256
0.332,0.929,2.408,78.491,-74.646,196.960
0.464,1.173,2.272,64.758,-52.307,189.453
0.567,1.302,2.017,50.659,-31.067,179.687
0.665,1.349,1.635,40.222,-12.939,169.983
0.752,1.360,1.251,34.668,-0.488,161.621
0.834,1.451,0.888,31.128,7.507,154.358
0.893,1.623,0.607,26.917,11.353,147.827
0.936,1.862,0.425,22.522,11.597,140.320
0.980,2.068,0.349,15.686,10.010,130.005
1.012,2.323,0.282,14.648,8.423,118.530
1.036,2.572,0.178,17.395,7.080,105.469
1.055,2.766,0.028,19.470,4.578,88.135
1.073,2.870,-0.173,22.339,0.732,68.970
1.071,2.891,-0.305,23.621,-5.737,48.218
1.050,2.843,-0.336,22.217,-14.221,27.466
1.030,2.793,-0.212,19.043,-24.170,7.751
0.984,2.797,-0.049,10.559,-30.640,-9.033
0.938,2.806,0.089,0.366,-33.630,-26.184
0.875,2.806,0.195,-11.169,-34.546,-43.701
0.803,2.790,0.231,-23.071,-33.203,-61.401
0.736,2.747,0.270,-34.912,-32.104,-79.529
0.649,2.719,0.316,-45.349,-31.311,-96.924
0.559,2.696,0.308,-56.396,-29.724,-114.075
0.478,2.663,0.337,-68.726,-28.503,-131.042
0.395,2.624,0.418,-81.421,-28.442,-148.193
0.306,2.644,0.420,-93.445,-27.283,-165.222
0.209,2.627,0.326,-103.455,-26.184,-182.739
0.109,2.540,0.197,-110.229,-28.076,-201.355
-0.024,2.326,0.101,-112.915,-32.776,-220.581
-0.164,1.932,0.118,-113.953,-40.649,-239.624
-0.316,1.351,0.265,-118.591,-49.438,-257.324
-0.452,0.638,0.507,-123.840,-58.228,-269.897
-0.544,-0.113,0.832,-128.235,-66.528,-275.574
-0.580,-0.835,1.101,-131.775,-71.106,-273.376
-0.542,-1.545,1.370,-129.272,-73.181,-263.123
-0.465,-2.289,1.816,-120.789,-76.538,-247.864
-0.376,-2.810,2.349,-116.821,-74.768,-226.318
-0.240,-3.647,2.829,-125.854,-71.533,-209.961
-0.120,-4.000,3.110,-120.850,-56.824,-194.824
0.001,-4.000,2.997,-99.365,-19.104,-151.062
0.143,-3.675,2.718,-76.843,5.188,-89.172
0.286,-3.049,2.385,-67.017,27.161,-36.316
0.388,-2.359,2.077,-63.965,44.373,-4.395
0.488,-1.619,1.665,-54.077,62.744,20.935
0.593,-0.964,1.158,-41.199,76.660,36.438
0.685,-0.482,0.680,-32.104,78.857,39.490
0.757,-0.174,0.235,-20.874,77.820,37.842
0.817,-0.023,-0.004,-17.944,66.528,32.288
0.851,0.073,-0.136,-15.015,55.176,26.672
0.870,0.111,-0.131,-10.315,42.969,21.545
0.880,0.092,-0.095,-7.568,33.325,16.602
0.891,0.048,-0.099,-4.822,26.672,13.245
0.906,0.017,-0.137,-4.272,21.423,11.047
0.921,0.009,-0.202,-4.517,16.052,9.644
0.932,0.005,-0.243,-5.310,9.766,8.850
0.945,0.045,-0.256,-4.333,2.075,8.423
0.952,0.100,-0.273,0.000,-5.371,8.179
0.952,0.115,-0.227,6.165,-13.672,7.629
0.943,0.082,-0.101,12.878,-23.071,6.409
0.918,0.023,0.126,18.799,-31.189,5.737
0.899,-0.062,0.389,21.057,-35.828,5.798
0.891,-0.069,0.634,20.203,-36.621,6.958
0.888,0.038,0.852,18.799,-33.997,9.338
0.892,0.153,0.969,16.724,-28.137,10.559
0.904,0.213,0.964,11.902,-19.958,9.766
1.564,-0.458,1.679,12.573,-22.217,16.785
1.630,-0.446,2.240,17.334,-18.921,23.560
1.655,-0.301,2.875,21.484,-13.916,32.349
1.644,-0.005,3.451,25.513,1.404,40.955
1.554,0.359,3.726,27.527,37.292,45.288
1.443,0.666,3.904,23.621,72.876,44.861
1.287,0.941,3.734,14.343,109.985,40.710
1.121,1.128,3.252,1.953,146.545,32.532
0.953,1.194,2.642,-10.071,178.101,21.240
0.778,1.121,2.030,-21.912,202.759,7.751
0.628,1.005,1.406,-29.602,222.900,-4.517
0.479,0.869,0.608,-32.898,243.347,-15.198
0.409,0.718,0.047,-33.142,239.136,-25.269
0.342,0.619,-0.484,-29.907,227.722,-32.959
0.302,0.530,-0.867,-25.269,216.736,-39.368
0.267,0.449,-1.111,-16.479,195.862,-45.044
0.231,0.332,-1.225,-5.310,174.377,-49.438
0.209,0.283,-1.278,3.845,151.978,-52.734
0.180,0.191,-1.196,11.780,130.371,-55.542
0.130,0.089,-1.100,17.334,111.206,-57.861
0.101,-0.025,-1.002,22.156,95.642,-59.265
0.071,-0.228,-0.851,22.827,80.688,-59.998
0.027,-0.361,-0.747,23.621,69.641,-58.167
-0.004,-0.551,-0.689,22.461,60.730,-55.542
-0.023,-0.751,-0.635,18.555,53.528,-50.903
-0.042,-0.914,-0.623,13.855,47.791,-43.884
-0.064,-1.028,-0.633,10.071,42.175,-34.607
-0.073,-1.039,-0.733,7.141,38.208,-23.621
-0.080,-0.996,-0.865,4.517,32.410,-12.573
-0.075,-0.900,-1.020,0.366,25.574,-3.479
-0.059,-0.814,-1.193,-2.686,16.663,4.333
-0.036,-0.792,-1.288,-5.005,4.272,10.925
-0.022,-0.832,-1.311,-4.822,-10.132,16.296
-0.008,-0.887,-1.256,-2.075,-26.001,22.034
0.004,-0.925,-1.138,5.066,-42.847,28.381
0.009,-0.955,-1.040,14.893,-58.289,35.522
0.013,-1.024,-0.955,24.963,-72.876,42.725
0.013,-1.114,-0.761,36.743,-89.111,50.293
0.009,-1.223,-0.500,46.692,-103.394,58.899
-0.004,-1.293,-0.257,53.711,-114.258,68.970
-0.002,-1.322,0.032,60.181,-122.803,80.261
0.020,-1.309,0.308,64.453,-128.357,91.980
0.053,-1.287,0.535,67.871,-129.883,104.187
0.088,-1.210,0.774,71.533,-130.432,115.906
0.131,-1.088,0.990,75.256,-129.089,127.319
0.174,-0.967,1.198,79.041,-125.793,138.184
0.212,-0.816,1.399,82.214,-121.094,148.437
0.263,-0.611,1.543,83.008,-114.624,158.569
0.312,-0.440,1.591,81.116,-104.065,166.870
0.377,-0.249,1.677,77.515,-93.750,173.950
0.462,-0.002,1.813,74.890,-85.083,181.396
0.519,0.334,1.947,70.068,-73.486,187.561
0.610,0.797,2.111,62.866,-60.547,191.589
0.695,1.375,2.115,56.274,-41.992,192.444
0.794,1.933,1.840,47.241,-19.958,186.523
0.910,2.389,1.511,41.077,-2.197,173.462
1.013,2.629,1.169,30.823,10.864,153.870
1.109,2.726,0.852,20.935,18.860,131.714
1.168,2.675,0.565,14.404,23.437,109.070
1.216,2.519,0.266,10.132,25.208,87.280
1.237,2.351,-0.022,10.315,24.353,68.970
1.231,2.202,-0.244,10.437,19.836,53.040
1.220,2.145,-0.442,10.620,13.184,39.612
1.207,2.148,-0.598,11.658,5.005,27.588
1.182,2.128,-0.574,13.611,-7.629,14.954
1.133,2.108,-0.449,14.832,-19.836,2.441
1.088,2.102,-0.277,14.343,-28.931,-8.789
1.035,2.092,-0.070,8.118,-35.217,-20.569
0.981,2.086,0.181,0.366,-38.574,-32.776
0.931,2.125,0.398,-8.118,-38.269,-44.739
0.876,2.172,0.481,-18.127,-34.241,-57.129
0.824,2.143,0.483,-29.297,-28.931,-70.740
0.767,2.042,0.470,-39.001,-24.536,-84.595
0.709,1.941,0.429,-45.837,-21.545,-96.985
0.667,1.839,0.356,-51.697,-19.043,-108.032
0.629,1.773,0.307,-57.617,-17.883,-118.164
0.573,1.768,0.234,-65.186,-17.517,-126.770
0.527,1.823,0.168,-74.097,-18.127,-135.254
0.467,1.953,0.157,-81.909,-20.813,-144.592
0.374,2.070,0.171,-87.463,-24.414,-155.823
0.266,2.117,0.189,-90.332,-28.564,-169.189
0.142,2.042,0.177,-91.187,-32.837,-183.716
0.020,1.790,0.222,-91.431,-37.781,-198.975
-0.073,1.404,0.348,-93.262,-42.664,-213.074
-0.152,0.987,0.506,-99.854,-46.265,-224.792
-0.225,0.554,0.581,-106.506,-47.058,-231.506
-0.250,-0.040,0.588,-114.685,-46.326,-235.107
-0.233,-0.783,0.590,-125.305,-46.570,-234.436
-0.174,-1.337,0.468,-130.066,-47.241,-223.083
-0.078,-1.609,0.424,-126.404,-51.575,-203.125
0.011,-1.616,0.630,-119.080,-61.829,-180.298
0.057,-1.458,1.034,-109.192,-71.655,-158.936
0.093,-1.326,1.357,-99.731,-74.158,-141.907
0.135,-1.323,1.664,-90.271,-72.205,-129.639
0.170,-1.420,1.975,-80.872,-68.298,-119.690
0.209,-1.476,2.166,-70.984,-59.143,-108.582
0.258,-1.534,2.179,-60.364,-44.739,-97.229
0.321,-1.693,2.059,-51.880,-29.114,-86.792
0.375,-1.906,1.884,-46.143,-16.113,-75.562
0.432,-2.059,1.620,-43.457,-4.456,-61.340
0.499,-2.094,1.315,-40.588,4.883,-44.067
0.561,-1.951,1.050,-37.964,10.437,-25.635
0.625,-1.695,0.834,-36.438,13.367,-8.911
0.683,-1.351,0.705,-32.837,12.939,5.188
0.728,-1.002,0.664,-27.039,10.864,16.479
0.773,-0.699,0.603,-19.653,9.338,24.780
0.805,-0.472,0.540,-13.672,7.935,28.992
0.835,-0.275,0.497,-9.033,6.226,31.006
0.858,-0.047,0.473,-7.080,4.639,31.555
0.877,0.127,0.459,-7.080,3.418,29.785
0.891,0.229,0.439,-6.287,1.831,25.513
0.901,0.265,0.420,-4.211,0.305,20.447
0.913,0.273,0.387,-0.793,-1.404,15.503
0.907,0.230,0.354,1.770,-2.991,10.803
0.904,0.105,0.304,3.235,-4.883,6.592
0.899,-0.014,0.332,6.226,-7.690,4.333
0.881,-0.112,0.445,8.484,-11.047,3.723
0.865,-0.182,0.550,9.583,-12.695,4.456
0.863,-0.222,0.667,9.216,-12.329,6.165
1.564,-0.116,1.665,-4.700,-15.808,2.075
1.650,-0.188,2.133,0.122,-11.108,3.540
1.710,-0.221,2.662,6.165,-6.653,6.592
1.718,-0.201,3.122,11.963,4.456,10.681
1.691,-0.092,3.524,18.860,26.978,15.686
1.587,0.133,3.655,22.034,60.974,19.653
1.436,0.404,3.655,20.264,92.957,21.240
1.259,0.630,3.404,12.695,125.305,19.653
1.058,0.824,2.951,3.784,156.738,15.625
0.862,0.886,2.408,-7.874,183.411,8.301
0.669,0.891,1.871,-18.372,205.078,-1.892
0.491,0.756,1.300,-25.024,223.145,-11.475
0.339,0.646,0.530,-25.757,241.272,-20.325
0.260,0.499,-0.083,-27.466,236.145,-28.931
0.188,0.341,-0.670,-23.621,225.891,-35.217
0.164,0.241,-1.096,-16.113,211.609,-39.612
0.134,0.122,-1.318,-1.953,187.195,-41.382
0.106,0.057,-1.300,8.057,160.522,-42.542
0.095,-0.045,-1.142,15.625,135.193,-43.213
0.055,-0.198,-0.942,20.020,116.821,-43.213
0.013,-0.354,-0.840,23.865,103.210,-41.504
-0.015,-0.509,-0.784,26.245,92.224,-38.269
-0.036,-0.651,-0.742,26.794,82.397,-33.569
-0.046,-0.778,-0.677,24.841,73.120,-27.100
-0.030,-0.831,-0.585,20.752,65.857,-18.677
-0.004,-0.812,-0.492,14.832,60.364,-10.010
0.034,-0.711,-0.471,6.897,57.678,-2.319
0.085,-0.571,-0.528,-1.587,56.091,4.517
0.140,-0.389,-0.676,-7.812,54.260,10.132
0.201,-0.213,-0.875,-12.512,50.476,13.489
0.268,-0.053,-1.042,-14.893,43.884,14.709
0.321,0.102,-1.177,-14.282,33.936,13.977
0.359,0.193,-1.261,-13.000,21.912,11.108
0.398,0.202,-1.301,-10.498,7.751,6.897
0.431,0.143,-1.294,-5.981,-6.653,2.075
0.436,0.047,-1.263,-0.488,-21.545,-1.892
0.425,-0.105,-1.228,5.676,-36.377,-4.028
0.412,-0.298,-1.043,13.977,-53.589,-5.310
0.374,-0.458,-0.780,21.545,-69.092,-4.944
0.316,-0.550,-0.518,25.818,-80.444,-3.052
0.261,-0.670,-0.321,27.405,-88.013,-0.610
0.196,-0.969,-0.056,29.480,-95.459,1.160
0.119,-1.405,0.206,30.212,-100.708,4.333
0.043,-1.848,0.453,33.630,-103.149,13.245
0.010,-2.249,0.717,38.025,-104.248,27.283
-0.036,-2.507,0.949,46.204,-102.966,47.058
-0.076,-2.684,1.137,55.542,-100.159,69.946
-0.096,-2.690,1.193,66.345,-94.910,94.971
-0.108,-2.519,1.170,77.576,-88.745,121.338
-0.098,-2.264,1.203,86.121,-85.999,145.203
-0.073,-1.994,1.294,92.407,-84.106,166.565
-0.049,-1.621,1.416,96.680,-81.299,186.707
0.010,-1.065,1.542,100.342,-77.515,206.055
0.087,-0.395,1.731,104.736,-72.510,220.947
0.183,0.316,1.938,106.445,-66.345,228.271
0.295,0.961,2.027,105.835,-54.749,228.149
0.438,1.409,1.971,101.746,-39.124,219.971
0.592,1.571,1.848,94.421,-24.841,206.177
